,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Identifier_cat,Outlet_Identifier_cat
4618,1279,6.235,Low Fat,9,263.791,3,2009,Medium,Tier 3,Supermarket Type2,2103.928,NCB31,OUT018
4619,1105,15.0,Low Fat,1,121.8414,0,1998,High,Tier 3,Grocery Store,243.6828,FDW47,OUT010
4620,932,12.857645184136183,Low Fat,6,39.1164,5,1985,Medium,Tier 3,Supermarket Type3,1235.7248,FDT20,OUT027
4621,490,10.65,Regular,13,232.3668,8,1997,Small,Tier 1,Supermarket Type1,3685.8688,FDI34,OUT046
4622,465,9.8,Regular,6,114.2492,0,1998,High,Tier 3,Grocery Store,463.3968,FDH56,OUT010
4623,98,18.25,Low Fat,7,173.408,1,1987,High,Tier 3,Supermarket Type1,1038.648,DRJ47,OUT013
4624,734,12.857645184136183,Low Fat,5,62.0168,5,1985,Medium,Tier 3,Supermarket Type3,1534.0032,FDP04,OUT027
4625,1550,19.6,Low Fat,9,251.8698,9,1999,Medium,Tier 1,Supermarket Type1,3551.3772,NCZ06,OUT049
4626,1196,17.0,Regular,3,144.247,7,2002,High,Tier 2,Supermarket Type1,3149.234,FDY37,OUT045
4627,722,9.6,Regular,13,190.2872,9,1999,Medium,Tier 1,Supermarket Type1,4727.18,FDO46,OUT049
4628,475,8.51,Regular,13,173.5422,9,1999,Medium,Tier 1,Supermarket Type1,5000.8238,FDI10,OUT049
4629,1496,5.88,Low Fat,9,150.3392,3,2009,Medium,Tier 3,Supermarket Type2,447.4176,NCT42,OUT018
4630,335,8.905,Low Fat,5,60.2878,3,2009,Medium,Tier 3,Supermarket Type2,1151.1682,FDE29,OUT018
4631,782,12.857645184136183,Regular,1,258.8988,5,1985,Medium,Tier 3,Supermarket Type3,3083.9856,FDQ11,OUT027
4632,883,8.85,Low Fat,6,183.8292,1,1987,High,Tier 3,Supermarket Type1,2554.0088,FDS20,OUT013
4633,841,20.7,Low Fat,4,177.2028,3,2009,Medium,Tier 3,Supermarket Type2,3364.9532,FDR26,OUT018
4634,1339,12.857645184136183,Low Fat,9,216.6192,4,1985,Small,Tier 1,Grocery Store,215.7192,NCH43,OUT019
4635,708,6.3,Low Fat,3,209.627,3,2009,Medium,Tier 3,Supermarket Type2,3984.813,FDO25,OUT018
4636,220,17.5,Regular,4,144.6102,3,2009,Medium,Tier 3,Supermarket Type2,2187.153,FDB40,OUT018
4637,200,12.857645184136183,Regular,3,92.312,4,1985,Small,Tier 1,Grocery Store,372.848,FDB14,OUT019
4638,1085,5.765,Low Fat,0,40.1164,6,2004,Small,Tier 2,Supermarket Type1,540.6296,FDW23,OUT035
4639,1233,17.75,Regular,0,186.924,3,2009,Medium,Tier 3,Supermarket Type2,3169.208,FDZ23,OUT018
4640,1145,5.035,Regular,1,229.0036,2,2007,High,Tier 2,Supermarket Type1,4326.3684,FDX35,OUT017
4641,1136,8.355,Low Fat,0,94.1462,8,1997,Small,Tier 1,Supermarket Type1,2221.1088,FDX24,OUT046
4642,54,6.13,Low Fat,4,63.0536,2,2007,High,Tier 2,Supermarket Type1,1225.072,DRG15,OUT017
4643,1215,10.5,Regular,0,143.3128,8,1997,Small,Tier 1,Supermarket Type1,1438.128,FDY60,OUT046
4644,543,12.5,Low Fat,3,119.144,3,2009,Medium,Tier 3,Supermarket Type2,3235.788,FDK02,OUT018
4645,555,12.857645184136183,Low Fat,0,45.4744,5,1985,Medium,Tier 3,Supermarket Type3,1041.3112,FDK24,OUT027
4646,1264,20.75,Low Fat,8,150.4734,6,2004,Small,Tier 2,Supermarket Type1,890.8404,NCA05,OUT035
4647,674,12.857645184136183,Regular,13,93.0436,5,1985,Medium,Tier 3,Supermarket Type3,2363.59,FDN33,OUT027
4648,151,13.35,Regular,13,179.066,2,2007,High,Tier 2,Supermarket Type1,2696.49,FDA09,OUT017
4649,572,7.96,Low Fat,3,163.2894,6,2004,Small,Tier 2,Supermarket Type1,4530.1032,FDK50,OUT035
4650,1313,8.92,Low Fat,9,175.237,2,2007,High,Tier 2,Supermarket Type1,2117.244,NCE55,OUT017
4651,400,6.635,Regular,0,121.8098,9,1999,Medium,Tier 1,Supermarket Type1,2048.6666,FDG12,OUT049
4652,259,15.5,Low Fat,0,106.7938,1,1987,High,Tier 3,Supermarket Type1,3215.814,FDC37,OUT013
4653,54,6.13,Low Fat,4,62.4536,8,1997,Small,Tier 1,Supermarket Type1,1225.072,DRG15,OUT046
4654,817,7.315,Low Fat,13,154.434,8,1997,Small,Tier 1,Supermarket Type1,1378.206,FDQ58,OUT046
4655,812,16.0,Regular,10,46.1718,0,1998,High,Tier 3,Grocery Store,94.5436,FDQ51,OUT010
4656,856,16.85,Low Fat,13,146.576,0,1998,High,Tier 3,Grocery Store,439.428,FDR46,OUT010
4657,269,15.85,Low Fat,3,94.4094,3,2009,Medium,Tier 3,Supermarket Type2,1047.3034,FDC50,OUT018
4658,512,15.0,Low Fat,13,43.4744,8,1997,Small,Tier 1,Supermarket Type1,543.2928,FDJ09,OUT046
4659,1286,19.1,Low Fat,9,172.3422,6,2004,Small,Tier 2,Supermarket Type1,2586.633,NCC18,OUT035
4660,582,19.0,Low Fat,5,105.4622,1,1987,High,Tier 3,Supermarket Type1,952.7598,FDL04,OUT013
4661,461,13.5,Low Fat,0,84.654,9,1999,Medium,Tier 1,Supermarket Type1,1211.756,FDH48,OUT049
4662,301,16.75,Regular,3,99.8674,9,1999,Medium,Tier 1,Supermarket Type1,2342.9502,FDD38,OUT049
4663,955,12.857645184136183,Regular,1,95.9068,5,1985,Medium,Tier 3,Supermarket Type3,3207.8244,FDT47,OUT027
4664,344,9.195,Regular,5,85.9566,7,2002,High,Tier 2,Supermarket Type1,1691.132,FDE41,OUT045
4665,441,19.35,Low Fat,10,173.8738,2,2007,High,Tier 2,Supermarket Type1,2432.8332,FDH19,OUT017
4666,1088,11.8,Regular,4,224.1772,2,2007,High,Tier 2,Supermarket Type1,2890.9036,FDW26,OUT017
4667,1095,10.6,Low Fat,1,40.6454,2,2007,High,Tier 2,Supermarket Type1,167.7816,FDW35,OUT017
4668,814,13.65,Regular,6,115.5834,7,2002,High,Tier 2,Supermarket Type1,1382.2008,FDQ55,OUT045
4669,1034,14.85,Regular,13,158.263,9,1999,Medium,Tier 1,Supermarket Type1,2659.871,FDV22,OUT049
4670,1413,12.857645184136183,Low Fat,8,48.2034,4,1985,Small,Tier 1,Grocery Store,97.2068,NCN29,OUT019
4671,795,13.5,Regular,4,60.1562,6,2004,Small,Tier 2,Supermarket Type1,1599.9174,FDQ26,OUT035
4672,1036,5.635,Low Fat,0,150.005,7,2002,High,Tier 2,Supermarket Type1,1797.66,FDV24,OUT045
4673,423,7.405,Low Fat,3,92.4146,2,2007,High,Tier 2,Supermarket Type1,1459.4336,FDG50,OUT017
4674,1320,12.857645184136183,Low Fat,9,177.0712,4,1985,Small,Tier 1,Grocery Store,351.5424,NCF42,OUT019
4675,954,11.35,Low Fat,13,51.9008,2,2007,High,Tier 2,Supermarket Type1,708.4112,FDT46,OUT017
4676,35,12.857645184136183,Low Fat,14,153.8024,5,1985,Medium,Tier 3,Supermarket Type3,7741.9224,DRE49,OUT027
4677,1062,16.1,Regular,6,109.3596,7,2002,High,Tier 2,Supermarket Type1,1186.4556,FDV56,OUT045
4678,296,17.7,Regular,6,80.9276,3,2009,Medium,Tier 3,Supermarket Type2,487.3656,FDD32,OUT018
4679,1411,13.1,Low Fat,11,188.853,6,2004,Small,Tier 2,Supermarket Type1,3225.801,NCN19,OUT035
4680,810,14.3,Regular,0,96.5726,1,1987,High,Tier 3,Supermarket Type1,2251.0698,FDQ48,OUT013
4681,1094,12.857645184136183,Low Fat,13,244.317,5,1985,Medium,Tier 3,Supermarket Type3,8262.578,FDW34,OUT027
4682,1484,8.6,Low Fat,9,114.3176,7,2002,High,Tier 2,Supermarket Type1,1946.7992,NCS38,OUT045
4683,616,5.78,Regular,13,264.5568,3,2009,Medium,Tier 3,Supermarket Type2,6327.7632,FDL58,OUT018
4684,1214,8.195,Low Fat,0,91.8462,7,2002,High,Tier 2,Supermarket Type1,2313.655,FDY59,OUT045
4685,1218,13.65,Regular,4,184.824,8,1997,Small,Tier 1,Supermarket Type1,3355.632,FDZ03,OUT046
4686,774,17.35,Low Fat,0,102.3016,7,2002,High,Tier 2,Supermarket Type1,1619.2256,FDP60,OUT045
4687,1346,20.25,Low Fat,9,246.646,8,1997,Small,Tier 1,Supermarket Type1,2463.46,NCI30,OUT046
4688,692,12.857645184136183,Regular,10,230.5352,4,1985,Small,Tier 1,Grocery Store,687.1056,FDO03,OUT019
4689,1230,16.1,Low Fat,6,252.3356,8,1997,Small,Tier 1,Supermarket Type1,3815.034,FDZ20,OUT046
4690,798,12.857645184136183,Regular,6,89.7856,5,1985,Medium,Tier 3,Supermarket Type3,966.7416,FDQ31,OUT027
4691,1169,17.6,Regular,10,113.2202,3,2009,Medium,Tier 3,Supermarket Type2,2025.3636,FDY03,OUT018
4692,1103,18.0,Low Fat,13,148.4418,7,2002,High,Tier 2,Supermarket Type1,4119.9704,FDW45,OUT045
4693,1431,12.5,Low Fat,8,99.0384,0,1998,High,Tier 3,Grocery Store,197.0768,NCO41,OUT010
4694,551,9.065,Low Fat,5,94.4094,1,1987,High,Tier 3,Supermarket Type1,2856.282,FDK16,OUT013
4695,1228,16.85,Regular,5,195.5478,6,2004,Small,Tier 2,Supermarket Type1,4262.4516,FDZ16,OUT035
4696,1296,16.0,Low Fat,9,228.4668,2,2007,High,Tier 2,Supermarket Type1,2534.0348,NCD18,OUT017
4697,388,9.3,Low Fat,5,181.6292,1,1987,High,Tier 3,Supermarket Type1,2371.5796,FDF52,OUT013
4698,361,6.215,Low Fat,6,37.9848,6,2004,Small,Tier 2,Supermarket Type1,782.9808,FDF09,OUT035
4699,1101,20.1,Regular,6,226.6036,2,2007,High,Tier 2,Supermarket Type1,6831.108,FDW43,OUT017
4700,981,8.77,Regular,6,170.5422,2,2007,High,Tier 2,Supermarket Type1,2759.0752,FDU19,OUT017
4701,184,16.25,Low Fat,4,95.141,6,2004,Small,Tier 2,Supermarket Type1,2220.443,FDA50,OUT035
4702,906,15.15,Low Fat,0,150.4708,1,1987,High,Tier 3,Supermarket Type1,2106.5912,FDS48,OUT013
4703,1334,13.15,Low Fat,9,159.5604,1,1987,High,Tier 3,Supermarket Type1,1901.5248,NCH07,OUT013
4704,1374,12.15,Low Fat,9,117.615,1,1987,High,Tier 3,Supermarket Type1,1514.695,NCK54,OUT013
4705,313,12.857645184136183,Low Fat,5,41.8454,4,1985,Small,Tier 1,Grocery Store,41.9454,FDD53,OUT019
4706,1064,20.85,Low Fat,13,197.5452,6,2004,Small,Tier 2,Supermarket Type1,4306.3944,FDV58,OUT035
4707,473,18.2,Regular,6,247.2092,6,2004,Small,Tier 2,Supermarket Type1,3486.1288,FDI08,OUT035
4708,282,8.3,Low Fat,6,36.6506,3,2009,Medium,Tier 3,Supermarket Type2,455.4072,FDD08,OUT018
4709,1144,6.195,Low Fat,13,120.1098,7,2002,High,Tier 2,Supermarket Type1,2892.2352,FDX34,OUT045
4710,1161,15.1,Low Fat,6,216.4166,7,2002,High,Tier 2,Supermarket Type1,2830.3158,FDX55,OUT045
4711,1478,11.5,Low Fat,8,130.7942,7,2002,High,Tier 2,Supermarket Type1,2782.3782,NCS05,OUT045
4712,582,19.0,Low Fat,5,105.4622,6,2004,Small,Tier 2,Supermarket Type1,1905.5196,FDL04,OUT035
4713,537,10.5,Low Fat,5,120.2098,3,2009,Medium,Tier 3,Supermarket Type2,602.549,FDJ53,OUT018
4714,225,8.8,Low Fat,13,210.6612,9,1999,Medium,Tier 1,Supermarket Type1,2508.7344,FDB47,OUT049
4715,1482,12.857645184136183,Low Fat,8,264.1884,4,1985,Small,Tier 1,Grocery Store,264.9884,NCS29,OUT019
4716,213,17.75,Low Fat,6,160.4262,7,2002,High,Tier 2,Supermarket Type1,3182.524,FDB33,OUT045
4717,613,12.857645184136183,Regular,5,39.8506,4,1985,Small,Tier 1,Grocery Store,37.9506,FDL52,OUT019
4718,192,17.75,Regular,4,242.1538,6,2004,Small,Tier 2,Supermarket Type1,4326.3684,FDB03,OUT035
4719,1082,20.75,Low Fat,6,123.373,6,2004,Small,Tier 2,Supermarket Type1,2093.941,FDW20,OUT035
4720,924,16.7,Regular,13,60.6562,3,2009,Medium,Tier 3,Supermarket Type2,592.562,FDT10,OUT018
4721,545,12.857645184136183,Low Fat,5,55.5588,5,1985,Medium,Tier 3,Supermarket Type3,1145.176,FDK04,OUT027
4722,1377,13.85,Low Fat,11,40.248,7,2002,High,Tier 2,Supermarket Type1,319.584,NCL07,OUT045
4723,1238,15.35,Regular,6,191.1504,8,1997,Small,Tier 1,Supermarket Type1,1725.7536,FDZ31,OUT046
4724,346,12.1,Low Fat,6,177.3002,6,2004,Small,Tier 2,Supermarket Type1,3044.7034,FDE45,OUT035
4725,1374,12.15,Low Fat,9,118.515,3,2009,Medium,Tier 3,Supermarket Type2,1398.18,NCK54,OUT018
4726,30,12.857645184136183,Low Fat,4,74.8012,4,1985,Small,Tier 1,Grocery Store,303.6048,DRE15,OUT019
4727,1459,16.35,Low Fat,11,106.128,6,2004,Small,Tier 2,Supermarket Type1,1917.504,NCQ38,OUT035
4728,195,12.857645184136183,Low Fat,6,160.1578,5,1985,Medium,Tier 3,Supermarket Type3,3048.6982,FDB08,OUT027
4729,47,7.27,Low Fat,14,111.8518,3,2009,Medium,Tier 3,Supermarket Type2,2277.036,DRF49,OUT018
4730,13,13.8,Low Fat,4,246.9802,9,1999,Medium,Tier 1,Supermarket Type1,5896.3248,DRC27,OUT049
4731,217,20.25,Regular,0,240.3538,9,1999,Medium,Tier 1,Supermarket Type1,4086.0146,FDB37,OUT049
4732,896,9.3,Low Fat,1,65.7826,8,1997,Small,Tier 1,Supermarket Type1,968.739,FDS35,OUT046
4733,348,14.15,Low Fat,15,125.6046,9,1999,Medium,Tier 1,Supermarket Type1,1618.5598,FDE47,OUT049
4734,1497,12.857645184136183,Low Fat,8,164.5526,5,1985,Medium,Tier 3,Supermarket Type3,2302.3364,NCT53,OUT027
4735,588,8.115,Regular,3,154.8972,8,1997,Small,Tier 1,Supermarket Type1,1713.7692,FDL14,OUT046
4736,746,12.857645184136183,Regular,13,190.8872,4,1985,Small,Tier 1,Grocery Store,945.436,FDP21,OUT019
4737,1518,11.1,Low Fat,9,120.1124,7,2002,High,Tier 2,Supermarket Type1,1896.1984,NCV54,OUT045
4738,1431,12.5,Low Fat,8,96.7384,6,2004,Small,Tier 2,Supermarket Type1,2759.0752,NCO41,OUT035
4739,818,9.8,Regular,1,84.6908,6,2004,Small,Tier 2,Supermarket Type1,1006.6896,FDQ59,OUT035
4740,775,19.7,Regular,3,253.1014,3,2009,Medium,Tier 3,Supermarket Type2,2805.0154,FDQ01,OUT018
4741,810,14.3,Regular,0,95.9726,2,2007,High,Tier 2,Supermarket Type1,2153.1972,FDQ48,OUT017
4742,737,19.75,Low Fat,13,213.5902,9,1999,Medium,Tier 1,Supermarket Type1,4460.1942,FDP09,OUT049
4743,575,18.5,Low Fat,10,89.4172,1,1987,High,Tier 3,Supermarket Type1,1605.9096,FDK55,OUT013
4744,1361,12.857645184136183,Low Fat,9,174.1396,5,1985,Medium,Tier 3,Supermarket Type3,4012.1108,NCJ43,OUT027
4745,472,12.35,Regular,10,199.0426,6,2004,Small,Tier 2,Supermarket Type1,3361.6242,FDI07,OUT035
4746,1525,12.857645184136183,Low Fat,8,156.9604,5,1985,Medium,Tier 3,Supermarket Type3,4278.4308,NCW41,OUT027
4747,413,5.365,Regular,12,169.7764,9,1999,Medium,Tier 1,Supermarket Type1,3263.7516,FDG33,OUT049
4748,1422,12.857645184136183,Low Fat,8,97.2384,5,1985,Medium,Tier 3,Supermarket Type3,2660.5368,NCO05,OUT027
4749,464,20.5,Regular,5,82.8592,6,2004,Small,Tier 2,Supermarket Type1,908.1512,FDH53,OUT035
4750,859,8.71,Low Fat,3,49.5376,8,1997,Small,Tier 1,Supermarket Type1,1198.44,FDR49,OUT046
4751,376,12.857645184136183,Low Fat,12,109.4596,5,1985,Medium,Tier 3,Supermarket Type3,1833.6132,FDF33,OUT027
4752,812,16.0,Regular,10,48.1718,2,2007,High,Tier 2,Supermarket Type1,756.3488,FDQ51,OUT017
4753,1245,17.6,Low Fat,4,171.6422,1,1987,High,Tier 3,Supermarket Type1,3793.7284,FDZ38,OUT013
4754,1060,20.7,Regular,5,118.9466,7,2002,High,Tier 2,Supermarket Type1,353.5398,FDV52,OUT045
4755,646,13.0,Regular,3,61.922,6,2004,Small,Tier 2,Supermarket Type1,1557.972,FDM50,OUT035
4756,1066,20.2,Regular,0,195.811,2,2007,High,Tier 2,Supermarket Type1,2553.343,FDV60,OUT017
4757,430,20.35,Low Fat,0,232.7616,1,1987,High,Tier 3,Supermarket Type1,2812.3392,FDG60,OUT013
4758,661,18.6,Low Fat,2,101.1358,1,1987,High,Tier 3,Supermarket Type1,1105.8938,FDN13,OUT013
4759,135,12.857645184136183,Low Fat,7,46.206,5,1985,Medium,Tier 3,Supermarket Type3,1304.968,DRN59,OUT027
4760,968,13.35,Low Fat,4,229.9352,2,2007,High,Tier 2,Supermarket Type1,2519.3872,FDU02,OUT017
4761,1261,17.85,Low Fat,13,120.9072,3,2009,Medium,Tier 3,Supermarket Type2,2817.6656,FDZ58,OUT018
4762,1459,16.35,Low Fat,11,105.528,1,1987,High,Tier 3,Supermarket Type1,2024.032,NCQ38,OUT013
4763,380,14.85,Regular,4,263.791,7,2002,High,Tier 2,Supermarket Type1,4207.856,FDF39,OUT045
4764,919,21.25,Low Fat,10,183.1608,2,2007,High,Tier 2,Supermarket Type1,2756.412,FDT03,OUT017
4765,658,14.15,Low Fat,13,242.7828,1,1987,High,Tier 3,Supermarket Type1,3167.8764,FDN09,OUT013
4766,507,17.2,Regular,3,145.9418,6,2004,Small,Tier 2,Supermarket Type1,1765.7016,FDJ02,OUT035
4767,679,12.857645184136183,Low Fat,6,161.592,5,1985,Medium,Tier 3,Supermarket Type3,4314.384,FDN44,OUT027
4768,801,10.85,Low Fat,13,107.4622,7,2002,High,Tier 2,Supermarket Type1,529.311,FDQ34,OUT045
4769,1141,20.35,Regular,6,233.2958,8,1997,Small,Tier 1,Supermarket Type1,4206.5244,FDX31,OUT046
4770,1341,16.35,Low Fat,9,124.802,0,1998,High,Tier 3,Grocery Store,253.004,NCH55,OUT010
4771,126,9.3,Low Fat,7,191.6846,8,1997,Small,Tier 1,Supermarket Type1,3057.3536,DRM47,OUT046
4772,113,12.857645184136183,Regular,14,231.8958,5,1985,Medium,Tier 3,Supermarket Type3,8413.0488,DRL01,OUT027
4773,698,15.75,Low Fat,0,196.5452,2,2007,High,Tier 2,Supermarket Type1,3131.9232,FDO12,OUT017
4774,1370,14.85,Low Fat,9,253.2698,7,2002,High,Tier 2,Supermarket Type1,2283.0282,NCK30,OUT045
4775,743,18.6,Low Fat,5,243.6802,2,2007,High,Tier 2,Supermarket Type1,5896.3248,FDP16,OUT017
4776,1324,16.35,Low Fat,9,256.4646,3,2009,Medium,Tier 3,Supermarket Type2,515.3292,NCG06,OUT018
4777,1146,9.695,Regular,0,226.1404,8,1997,Small,Tier 1,Supermarket Type1,3375.606,FDX36,OUT046
4778,923,15.15,Regular,13,130.0284,2,2007,High,Tier 2,Supermarket Type1,3559.3668,FDT09,OUT017
4779,360,14.3,Regular,6,88.9856,6,2004,Small,Tier 2,Supermarket Type1,1669.8264,FDF08,OUT035
4780,177,10.895,Low Fat,6,194.8794,0,1998,High,Tier 3,Grocery Store,585.2382,FDA43,OUT010
4781,1406,8.39,Low Fat,9,165.1868,2,2007,High,Tier 2,Supermarket Type1,2784.3756,NCN06,OUT017
4782,40,18.35,Low Fat,4,151.934,1,1987,High,Tier 3,Supermarket Type1,306.268,DRF15,OUT013
4783,1529,15.2,Low Fat,8,116.3492,1,1987,High,Tier 3,Supermarket Type1,2548.6824,NCX05,OUT013
4784,630,20.2,Low Fat,13,259.4646,6,2004,Small,Tier 2,Supermarket Type1,2061.3168,FDM21,OUT035
4785,1331,12.857645184136183,Low Fat,9,172.3106,5,1985,Medium,Tier 3,Supermarket Type3,5475.5392,NCG54,OUT027
4786,293,8.71,Regular,3,185.6924,7,2002,High,Tier 2,Supermarket Type1,3331.6632,FDD26,OUT045
4787,985,12.15,Low Fat,1,163.1184,6,2004,Small,Tier 2,Supermarket Type1,3467.4864,FDU23,OUT035
4788,716,8.06,Low Fat,2,232.0326,7,2002,High,Tier 2,Supermarket Type1,3003.4238,FDO37,OUT045
4789,744,11.5,Low Fat,6,130.6652,0,1998,High,Tier 3,Grocery Store,258.3304,FDP19,OUT010
4790,927,14.85,Low Fat,3,187.3214,8,1997,Small,Tier 1,Supermarket Type1,4333.6922,FDT13,OUT046
4791,1171,11.8,Low Fat,6,45.2402,3,2009,Medium,Tier 3,Supermarket Type2,1148.505,FDY07,OUT018
4792,85,14.7,Low Fat,7,143.5128,9,1999,Medium,Tier 1,Supermarket Type1,2444.8176,DRI47,OUT049
4793,1526,12.857645184136183,Low Fat,9,221.2456,4,1985,Small,Tier 1,Grocery Store,663.1368,NCW42,OUT019
4794,1463,18.75,Low Fat,9,214.1218,1,1987,High,Tier 3,Supermarket Type1,4488.1578,NCQ50,OUT013
4795,780,7.235,Low Fat,13,115.1834,7,2002,High,Tier 2,Supermarket Type1,1382.2008,FDQ09,OUT045
4796,481,12.857645184136183,Low Fat,6,211.5586,5,1985,Medium,Tier 3,Supermarket Type3,4432.2306,FDI20,OUT027
4797,1438,19.6,Low Fat,8,150.9024,9,1999,Medium,Tier 1,Supermarket Type1,3795.06,NCP05,OUT049
4798,431,7.27,Regular,3,92.2488,2,2007,High,Tier 2,Supermarket Type1,814.9392,FDH02,OUT017
4799,458,15.1,Regular,6,42.0796,7,2002,High,Tier 2,Supermarket Type1,454.0756,FDH45,OUT045
4800,62,7.81,Low Fat,14,243.5486,0,1998,High,Tier 3,Grocery Store,488.6972,DRG49,OUT010
4801,173,7.81,Regular,3,125.5046,6,2004,Small,Tier 2,Supermarket Type1,3237.1196,FDA37,OUT035
4802,878,6.465,Low Fat,3,266.8884,2,2007,High,Tier 2,Supermarket Type1,1059.9536,FDS13,OUT017
4803,1526,12.857645184136183,Low Fat,9,220.8456,5,1985,Medium,Tier 3,Supermarket Type3,4199.8664,NCW42,OUT027
4804,550,10.8,Low Fat,10,100.5042,3,2009,Medium,Tier 3,Supermarket Type2,1884.8798,FDK15,OUT018
4805,1159,9.5,Regular,10,196.8452,8,1997,Small,Tier 1,Supermarket Type1,3523.4136,FDX51,OUT046
4806,518,20.7,Regular,6,125.5388,1,1987,High,Tier 3,Supermarket Type1,2105.2596,FDJ20,OUT013
4807,112,8.895,Low Fat,7,235.9616,2,2007,High,Tier 2,Supermarket Type1,1874.8928,DRK59,OUT017
4808,608,15.6,Low Fat,13,125.2704,3,2009,Medium,Tier 3,Supermarket Type2,2628.5784,FDL45,OUT018
4809,456,9.0,Low Fat,5,214.5534,1,1987,High,Tier 3,Supermarket Type1,3440.8544,FDH41,OUT013
4810,281,19.35,Low Fat,5,120.9098,7,2002,High,Tier 2,Supermarket Type1,1687.1372,FDD05,OUT045
4811,1246,19.7,Regular,10,102.599,7,2002,High,Tier 2,Supermarket Type1,2063.98,FDZ39,OUT045
4812,1194,12.857645184136183,Regular,1,44.0402,4,1985,Small,Tier 1,Grocery Store,91.8804,FDY35,OUT019
4813,1304,5.825,Low Fat,9,160.7894,3,2009,Medium,Tier 3,Supermarket Type2,1617.894,NCE06,OUT018
4814,354,12.857645184136183,Low Fat,6,140.6154,5,1985,Medium,Tier 3,Supermarket Type3,4538.0928,FDE57,OUT027
4815,297,12.85,Low Fat,6,233.8642,3,2009,Medium,Tier 3,Supermarket Type2,2323.642,FDD33,OUT018
4816,781,12.85,Low Fat,13,172.4422,7,2002,High,Tier 2,Supermarket Type1,4483.4972,FDQ10,OUT045
4817,662,17.5,Low Fat,10,139.918,1,1987,High,Tier 3,Supermarket Type1,419.454,FDN15,OUT013
4818,908,17.0,Low Fat,4,221.1114,8,1997,Small,Tier 1,Supermarket Type1,4434.228,FDS50,OUT046
4819,1133,7.05,Low Fat,13,111.1912,8,1997,Small,Tier 1,Supermarket Type1,1965.4416,FDX21,OUT046
4820,616,5.78,Regular,13,264.0568,6,2004,Small,Tier 2,Supermarket Type1,2109.2544,FDL58,OUT035
4821,547,15.2,Low Fat,13,229.0352,6,2004,Small,Tier 2,Supermarket Type1,2290.352,FDK09,OUT035
4822,873,12.857645184136183,Low Fat,6,178.437,5,1985,Medium,Tier 3,Supermarket Type3,3175.866,FDS08,OUT027
4823,328,11.35,Regular,6,169.279,6,2004,Small,Tier 2,Supermarket Type1,2376.906,FDE20,OUT035
4824,358,17.5,Low Fat,5,257.7304,7,2002,High,Tier 2,Supermarket Type1,5683.2688,FDF04,OUT045
4825,184,16.25,Low Fat,4,95.541,9,1999,Medium,Tier 1,Supermarket Type1,1544.656,FDA50,OUT049
4826,1122,12.85,Low Fat,6,179.7318,9,1999,Medium,Tier 1,Supermarket Type1,2165.1816,FDX08,OUT049
4827,281,12.857645184136183,Low Fat,5,122.4098,5,1985,Medium,Tier 3,Supermarket Type3,3012.745,FDD05,OUT027
4828,418,8.84,Regular,5,109.9228,3,2009,Medium,Tier 3,Supermarket Type2,1547.3192,FDG41,OUT018
4829,999,12.857645184136183,Low Fat,10,58.3562,5,1985,Medium,Tier 3,Supermarket Type3,1125.8678,FDU39,OUT027
4830,1462,17.75,Low Fat,11,107.5912,8,1997,Small,Tier 1,Supermarket Type1,1528.6768,NCQ43,OUT046
4831,1546,6.38,Low Fat,9,143.347,7,2002,High,Tier 2,Supermarket Type1,858.882,NCY42,OUT045
4832,372,12.857645184136183,Regular,3,153.2998,5,1985,Medium,Tier 3,Supermarket Type3,3998.7948,FDF26,OUT027
4833,248,10.65,Low Fat,6,57.1272,6,2004,Small,Tier 2,Supermarket Type1,279.636,FDC20,OUT035
4834,1128,13.1,Low Fat,4,75.0354,8,1997,Small,Tier 1,Supermarket Type1,902.8248,FDX14,OUT046
4835,15,12.857645184136183,Low Fat,14,145.7128,5,1985,Medium,Tier 3,Supermarket Type3,4026.7584,DRC49,OUT027
4836,642,10.195,Low Fat,5,143.1154,2,2007,High,Tier 2,Supermarket Type1,2410.8618,FDM40,OUT017
4837,323,6.67,Regular,13,131.2626,2,2007,High,Tier 2,Supermarket Type1,2098.6016,FDE10,OUT017
4838,1501,5.32,Low Fat,8,103.8674,7,2002,High,Tier 2,Supermarket Type1,509.337,NCU17,OUT045
4839,216,12.857645184136183,Regular,0,133.1626,5,1985,Medium,Tier 3,Supermarket Type3,2492.0894,FDB36,OUT027
4840,39,12.1,Low Fat,14,144.3444,3,2009,Medium,Tier 3,Supermarket Type2,1161.1552,DRF13,OUT018
4841,587,13.85,Regular,2,232.73,3,2009,Medium,Tier 3,Supermarket Type2,6291.81,FDL13,OUT018
4842,1341,16.35,Low Fat,9,125.602,9,1999,Medium,Tier 1,Supermarket Type1,3036.048,NCH55,OUT049
4843,1316,18.35,Low Fat,9,192.8504,1,1987,High,Tier 3,Supermarket Type1,2876.256,NCF18,OUT013
4844,241,15.5,Regular,6,102.0332,0,1998,High,Tier 3,Grocery Store,102.5332,FDC09,OUT010
4845,1023,12.1,Low Fat,13,150.4734,8,1997,Small,Tier 1,Supermarket Type1,2078.6276,FDV09,OUT046
